"","code","name"
"409",152501,"二连市"
"410",152502,"锡林浩"
"411",152522,"阿巴嘎"
"412",152523,"苏尼特左"
"413",152524,"苏尼特右"
"414",152525,"东乌旗"
"415",152526,"西乌旗"
"416",152527,"太仆寺"
"417",152528,"镶黄旗"
"418",152529,"正镶白"
"419",152530,"正蓝旗"
"420",152531,"多伦县"
"421",152601,"集宁市"
"422",152602,"丰镇市"
"423",152624,"卓资县"
"424",152625,"化德县"
"425",152626,"商都县"
"426",152627,"兴和县"
"427",152629,"凉城县"
"428",152630,"察右前"
"429",152631,"察右中"
"430",152632,"察右后"
"431",152634,"四子王"
"432",152701,"东胜市"
"433",152722,"达拉特旗"
"434",152723,"准格尔旗"
"435",152724,"鄂托克前"
"436",152725,"鄂托克旗"
"437",152726,"杭锦旗"
"438",152727,"乌审旗"
"439",152728,"伊金霍洛"
"440",152801,"临河市"
"441",152822,"五原县"
"442",152823,"磴口县"
"443",152824,"乌拉特前"
"444",152825,"乌拉特中"
"445",152826,"乌拉特后"
"446",152827,"杭锦后"
"447",152921,"阿拉善左"
"448",152922,"阿拉善右"
"449",152923,"额济纳"
"450",210101,"市辖区"
"451",210102,"和平区"
"452",210103,"沈河区"
"453",210104,"大东区"
"454",210105,"皇姑区"
"455",210106,"铁西区"
"456",210111,"苏家屯"
"457",210112,"东陵区"
"458",210113,"新城子"
"459",210114,"于洪区"
"460",210122,"辽中县"
"461",210123,"康平县"
"462",210124,"法库县"
"463",210181,"新民市"
"464",210201,"市辖区"
"465",210202,"中山区"
"466",210203,"西岗区"
"467",210204,"沙河口"
"468",210211,"甘井子"
"469",210212,"旅顺口"
"470",210213,"金州区"
"471",210224,"长海县"
"472",210281,"瓦房店"
"473",210282,"普兰店"
"474",210283,"庄河市"
"475",210301,"市辖区"
"476",210302,"铁东区"
"477",210303,"铁西区"
"478",210304,"立山区"
"479",210311,"千山区"
"480",210321,"台安县"
"481",210323,"岫岩县"
"482",210381,"海城市"
"483",210401,"市辖区"
"484",210402,"新抚区"
"485",210403,"露天区"
"486",210404,"望花区"
"487",210411,"顺城区"
"488",210421,"抚顺县"
"489",210422,"新宾县"
"490",210423,"清原县"
"491",210501,"市辖区"
"492",210502,"平山区"
"493",210503,"溪湖区"
"494",210504,"明山区"
"495",210505,"南分区"
"496",210521,"本溪县"
"497",210522,"桓仁县"
"498",210601,"市辖区"
"499",210602,"元宝区"
"500",210603,"振兴区"
"501",210604,"振安区"
"502",210624,"宽甸县"
"503",210681,"东港市"
"504",210682,"凤城市"
"505",210701,"市辖区"
"506",210702,"古塔区"
"507",210703,"凌河区"
"508",210711,"太和区"
"509",210726,"黑山县"
"510",210727,"义县"
"511",210781,"凌海市"
"512",210782,"北宁市"
"513",210801,"市辖区"
"514",210802,"站前区"
"515",210803,"西市区"
"516",210804,"拔鱼圈"
"517",210811,"老边区"
"518",210881,"盖州市"
"519",210882,"大石桥"
"520",210901,"市辖区"
"521",210902,"海州区"
"522",210903,"新邱区"
"523",210904,"太平区"
"524",210905,"清河门"
"525",210911,"细河区"
"526",210921,"阜新县"
"527",210922,"彰武县"
"528",211001,"市辖区"
"529",211002,"白塔区"
"530",211003,"文圣区"
"531",211004,"宏伟区"
"532",211005,"弓长岭"
"533",211011,"太子河"
"534",211021,"辽阳县"
"535",211081,"灯塔县"
"536",211101,"市辖区"
"537",211102,"双台子"
"538",211103,"兴隆台"
"539",211121,"大洼县"
"540",211122,"盘山县"
"541",211201,"市辖区"
"542",211202,"银州区"
"543",211204,"清河区"
"544",211221,"铁岭县"
"545",211223,"西丰县"
"546",211224,"昌图县"
"547",211281,"铁法市"
"548",211282,"开原市"
"549",211301,"市辖区"
"550",211302,"双塔区"
"551",211303,"龙城区"
"552",211321,"朝阳县"
"553",211322,"建平县"
"554",211324,"喀左县"
"555",211381,"北票市"
"556",211382,"凌源市"
"557",211401,"市辖区"
"558",211402,"莲山区"
"559",211403,"龙港区"
"560",211404,"南票区"
"561",211421,"绥中县"
"562",211422,"建昌县"
"563",211481,"兴城市"
"564",220101,"长春市"
"565",220102,"南关区"
"566",220103,"宽城区"
"567",220104,"朝阳区"
"568",220105,"二道区"
"569",220106,"绿园区"
"570",220112,"双阳区"
"571",220122,"农安县"
"572",220181,"九台市"
"573",220182,"榆树市"
"574",220183,"德惠市"
"575",220201,"吉林市辖"
"576",220202,"昌邑区"
"577",220203,"龙潭区"
"578",220204,"船营区"
"579",220211,"丰满区"
"580",220221,"永吉县"
"581",220281,"蛟河市"
"582",220282,"桦甸市"
"583",220283,"舒兰市"
"584",220284,"磐石市"
"585",220301,"四平市辖"
"586",220302,"铁西区"
"587",220303,"铁东区"
"588",220322,"梨树县"
"589",220323,"伊通自治"
"590",220381,"公主岭市"
"591",220382,"双辽市"
"592",220401,"辽源市辖"
"593",220402,"龙山区"
"594",220403,"西安区"
"595",220421,"东丰县"
"596",220422,"东辽县"
"597",220501,"通化市辖"
"598",220502,"东昌区"
"599",220503,"二道江"
"600",220521,"通化县"
"601",220523,"辉南县"
"602",220524,"柳河县"
"603",220581,"梅河口"
"604",220582,"集安市"
"605",220601,"白山市辖"
"606",220602,"八道江"
"607",220621,"抚松县"
"608",220622,"靖宇县"
"609",220623,"长白自治"
"610",220625,"江源县"
"611",220681,"临江市"
"612",220701,"市辖区"
"613",220702,"宁江区"
"614",220721,"前郭自治"
"615",220722,"长岭县"
"616",220723,"乾安县"
"617",220724,"扶余县"
"618",220801,"市辖区"
"619",220802,"洮北区"
"620",220821,"镇赉县"
"621",220822,"通榆县"
"622",220881,"洮南市"
"623",220882,"大安市"
"624",222401,"延吉市"
"625",222402,"图们市"
"626",222403,"敦化市"
"627",222404,"珲春市"
"628",222405,"龙井市"
"629",222406,"和龙市"
"630",222424,"汪清县"
"631",222426,"安图县"
"632",230101,"市辖区"
"633",230102,"道里区"
"634",230103,"南岗区"
"635",230104,"道外区"
"636",230105,"太平区"
"637",230106,"香坊区"
"638",230107,"动力区"
"639",230108,"平房区"
"640",230121,"呼兰县"
"641",230123,"依兰县"
"642",230124,"方正县"
"643",230125,"宾县"
"644",230126,"巴彦县"
"645",230127,"木兰县"
"646",230128,"通河县"
"647",230129,"延寿县"
"648",230181,"阿城市"
"649",230182,"双城市"
"650",230183,"尚志市"
"651",230184,"五常市"
"652",230201,"市辖区"
"653",230202,"龙沙区"
"654",230203,"建华区"
"655",230204,"铁峰区"
"656",230205,"昂昂溪"
"657",230206,"富拉尔"
"658",230207,"碾子山"
"659",230208,"梅里斯达"
"660",230221,"龙江县"
"661",230223,"依安县"
"662",230224,"泰来县"
"663",230225,"甘南县"
"664",230227,"富裕县"
"665",230229,"克山县"
"666",230230,"克东县"
"667",230231,"拜泉县"
"668",230281,"讷河市"
"669",230301,"鸡西市辖"
"670",230302,"鸡冠区"
"671",230303,"恒山区"
"672",230304,"滴道区"
"673",230305,"梨树区"
"674",230306,"城子河"
"675",230307,"麻山区"
"676",230321,"鸡东县"
"677",230381,"虎林市"
"678",230382,"密山市"
"679",230401,"鹤岗市辖"
"680",230402,"向阳区"
"681",230403,"工农区"
"682",230404,"南山区"
"683",230405,"兴安区"
"684",230406,"东山区"
"685",230407,"兴山区"
"686",230421,"萝北县"
"687",230422,"绥滨县"
"688",230501,"双鸭市辖"
"689",230502,"尖山区"
"690",230503,"岭东区"
"691",230505,"四方台"
"692",230506,"宝山区"
"693",230521,"集贤县"
"694",230522,"友谊县"
"695",230523,"宝清县"
"696",230524,"饶河县"
"697",230601,"大庆市辖"
"698",230602,"萨尔图"
"699",230603,"龙凤区"
"700",230604,"让胡路"
"701",230605,"红岗区"
"702",230606,"大同区"
"703",230621,"肇州县"
"704",230622,"肇源县"
"705",230623,"林甸县"
"706",230624,"杜蒙县"
"707",230701,"伊春市辖"
"708",230702,"伊春区"
"709",230703,"南岔区"
"710",230704,"友好区"
"711",230705,"西林区"
"712",230706,"翠峦区"
"713",230707,"新青区"
"714",230708,"美溪区"
"715",230709,"金山屯"
"716",230710,"五营区"
"717",230711,"乌马河"
"718",230712,"汤旺河"
"719",230713,"带岭区"
"720",230714,"乌伊岭"
"721",230715,"红星区"
"722",230716,"上甘岭"
"723",230722,"嘉荫县"
"724",230781,"铁力市"
"725",230801,"佳木市辖"
"726",230802,"永红区"
"727",230803,"向阳区"
"728",230804,"前进区"
"729",230805,"东风区"
"730",230811,"郊区"
"731",230822,"桦南县"
"732",230826,"桦川县"
"733",230828,"汤原县"
"734",230833,"抚远县"
"735",230881,"同江市"
"736",230882,"富锦市"
"737",230901,"七台市辖"
"738",230902,"新兴区"
"739",230903,"桃山区"
"740",230904,"茄子河"
"741",230921,"勃利县"
"742",231001,"牡丹市辖"
"743",231002,"东安区"
"744",231003,"阳明区"
"745",231004,"爱民区"
"746",231005,"西安区"
"747",231024,"东宁县"
"748",231025,"林口县"
"749",231081,"绥芬河"
"750",231083,"海林县"
"751",231084,"宁安县"
"752",231085,"穆棱县"
"753",231101,"黑河市辖"
"754",231102,"爱辉区"
"755",231121,"嫩江县"
"756",231123,"逊克县"
"757",231124,"孙吴县"
"758",231181,"北安市"
"759",231182,"五大连池"
"760",232301,"绥化市"
"761",232302,"安达市"
"762",232303,"肇东市"
"763",232304,"海伦市"
"764",232324,"望奎县"
"765",232325,"兰西县"
"766",232326,"青冈县"
"767",232330,"庆安县"
"768",232331,"明水县"
"769",232332,"绥棱县"
"770",232721,"呼玛县"
"771",232722,"塔河县"
"772",232723,"漠河县"
"773",310112,"闵行区"
"774",310113,"宝山区"
"775",310114,"嘉定区"
"776",310115,"浦东新"
"777",310116,"金山区"
"778",310117,"松江区"
"779",310225,"南汇县"
"780",310226,"奉贤县"
"781",310229,"青浦区"
"782",310230,"崇明县"
"783",320101,"南京市辖"
"784",320102,"玄武区"
"785",320103,"白下区"
"786",320104,"秦淮区"
"787",320105,"建邺区"
"788",320106,"鼓楼区"
"789",320107,"下关区"
"790",320111,"浦口区"
"791",320112,"大厂区"
"792",320114,"雨花台"
"793",320121,"江宁县"
"794",320122,"江浦县"
"795",320123,"六合县"
"796",320124,"溧水县"
"797",320125,"高淳县"
"798",320201,"无锡市辖"
"799",320202,"崇安区"
"800",320203,"南长区"
"801",320204,"北塘区"
"802",320211,"郊区"
"803",320212,"马山区"
"804",320281,"江阴市"
"805",320282,"宜兴市"
"806",320283,"锡山市"
"807",320301,"市辖区"
"808",320302,"鼓楼区"
"809",320303,"云龙区"
"810",320304,"九里区"
"811",320305,"贾汪区"
"812",320311,"泉山区"
"813",320321,"丰县"
"814",320322,"沛县"
"815",320323,"铜山县"
"816",320324,"睢宁县"
"817",320381,"新沂市"
"818",320382,"邳州市"
"819",320401,"常州市辖"
"820",320402,"天宁区"
"821",320404,"钟楼区"
"822",320405,"戚墅堰"
"823",320411,"郊区"
"824",320481,"溧阳市"
"825",320482,"金坛市"
"826",320483,"武进市"
"827",320501,"苏州市辖"
"828",320502,"沧浪区"
"829",320503,"平江区"
"830",320504,"金阊区"
"831",320511,"郊区"
"832",320581,"常熟市"
"833",320582,"张家港"
"834",320583,"昆山市"
"835",320584,"吴江市"
"836",320585,"太仓市"
"837",320586,"吴县市"
"838",320601,"南通市辖"
"839",320602,"崇川区"
"840",320611,"港闸区"
"841",320621,"海安县"
"842",320623,"如东县"
"843",320681,"启东市"
"844",320682,"如皋市"
"845",320683,"通州市"
"846",320684,"海门市"
"847",320701,"连云港辖"
"848",320703,"连云区"
"849",320704,"云台区"
"850",320705,"新浦区"
"851",320706,"海州区"
"852",320721,"赣榆县"
"853",320722,"东海县"
"854",320723,"灌云县"
"855",320724,"灌南县"
"856",320801,"淮阴市辖"
"857",320802,"清河区"
"858",320811,"清浦区"
"859",320821,"淮阴县"
"860",320826,"涟水县"
"861",320829,"洪泽县"
"862",320830,"盱眙县"
"863",320831,"金湖县"
"864",320882,"淮安市"
"865",320901,"盐城市辖"
"866",320902,"城区"
"867",320921,"响水县"
"868",320922,"滨海县"
"869",320923,"阜宁县"
"870",320924,"射阳县"
"871",320925,"建湖县"
"872",320928,"盐都县"
"873",320981,"东台市"
"874",320982,"大丰县"
"875",321001,"扬州市辖"
"876",321002,"广陵区"
"877",321011,"郊区"
"878",321023,"宝应县"
"879",321027,"邗江县"
"880",321081,"仪征市"
"881",321084,"高邮市"
"882",321088,"江都市"
"883",321101,"镇江市辖"
"884",321102,"京口区"
"885",321111,"润州区"
"886",321121,"丹徒县"
"887",321181,"丹阳市"
"888",321182,"扬中市"
"889",321183,"句容市"
"890",321201,"市辖区"
"891",321202,"海陵区"
"892",321203,"高港区"
"893",321281,"兴化市"
"894",321282,"靖江市"
"895",321283,"泰兴市"
"896",321284,"姜堰市"
"897",321301,"宿迁市辖"
"898",321302,"宿城区"
"899",321321,"宿豫县"
"900",321322,"沭阳县"
"901",321323,"泗阳县"
"902",321324,"泗洪县"
"903",330101,"杭州市辖"
"904",330122,"桐庐县"
"905",330127,"淳安县"
"906",330181,"萧山市"
"907",330182,"建德市"
"908",330183,"富阳市"
"909",330184,"余杭市"
"910",330185,"临安市"
"911",330201,"宁波市辖"
"912",330225,"象山县"
"913",330226,"宁海县"
"914",330227,"鄞县"
"915",330281,"余姚市"
"916",330282,"慈溪市"
"917",330283,"奉化市"
"918",330301,"温州市辖"
"919",330322,"洞头县"
"920",330324,"永嘉县"
"921",330326,"平阳县"
"922",330327,"苍南县"
"923",330328,"文成县"
"924",330329,"泰顺县"
"925",330381,"瑞安市"
"926",330382,"乐清市"
"927",330401,"嘉兴市辖"
"928",330421,"嘉善县"
"929",330424,"海盐县"
"930",330481,"海宁市"
"931",330482,"平湖市"
"932",330483,"桐乡市"
"933",330501,"湖州市辖"
"934",330521,"德清县"
"935",330522,"长兴县"
"936",330523,"安吉县"
"937",330601,"绍兴市辖"
"938",330621,"绍兴县"
"939",330624,"新昌县"
"940",330681,"诸暨市"
"941",330682,"上虞市"
"942",330683,"嵊州市"
"943",330701,"金华市辖"
"944",330721,"金华县"
"945",330723,"武义县"
"946",330726,"浦江县"
"947",330727,"磐安县"
"948",330781,"兰溪市"
"949",330782,"义乌市"
"950",330783,"东阳市"
"951",330784,"永康市"
"952",330801,"衢州市辖"
"953",330821,"衢县"
"954",330822,"常山县"
"955",330824,"开化县"
"956",330825,"龙游县"
"957",330881,"江山市"
"958",330901,"舟山市辖"
"959",330921,"岱山县"
"960",330922,"嵊泗县"
"961",331001,"台州市辖"
"962",331021,"玉环县"
"963",331022,"三门县"
"964",331023,"天台县"
"965",331024,"仙居县"
"966",331081,"温岭市"
"967",331082,"临海市"
"968",332501,"丽水市"
"969",332502,"龙泉市"
"970",332522,"青田县"
"971",332523,"云和县"
"972",332525,"庆元县"
"973",332526,"缙云县"
"974",332527,"遂昌县"
"975",332528,"松阳县"
"976",332529,"景宁县"
"977",340101,"合肥市辖"
"978",340111,"蜀山镇"
"979",340112,"经济开发"
"980",340121,"长丰县"
"981",340122,"肥东县"
"982",340123,"肥西县"
"983",340201,"芜湖市辖"
"984",340221,"芜湖县"
"985",340222,"繁昌县"
"986",340223,"南陵县"
"987",340301,"蚌埠市辖"
"988",340321,"怀远县"
"989",340322,"五河县"
"990",340323,"固镇县"
"991",340401,"淮南市辖"
"992",340421,"凤台县"
"993",340501,"马鞍山辖"
"994",340521,"当涂县"
"995",340601,"淮北市辖"
"996",340621,"濉溪县"
"997",340701,"铜陵市辖"
"998",340721,"铜陵县"
"999",340801,"安庆市辖"
"1000",340822,"怀宁县"
"1001",340823,"枞阳县"
"1002",340824,"潜山县"
"1003",340825,"太湖县"
"1004",340826,"宿松县"
"1005",340827,"望江县"
"1006",340828,"岳西县"
"1007",340881,"桐城市"
"1008",341002,"屯溪区"
"1009",341003,"黄山区"
"1010",341004,"徽州区"
"1011",341021,"歙县"
"1012",341022,"休宁县"
"1013",341023,"黟县"
"1014",341024,"祁门县"
"1015",341102,"琅琊区"
"1016",341103,"南谯区"
"1017",341122,"来安县"
"1018",341124,"全椒县"
"1019",341125,"定远县"
"1020",341126,"凤阳县"
"1021",341181,"天长市"
"1022",341182,"明光市"
"1023",341201,"阜阳市辖"
"1024",341202,"颖州区"
"1025",341203,"颍东区"
"1026",341204,"颍泉区"
"1027",341221,"临泉县"
"1028",341222,"太和县"
"1029",341223,"涡阳县"
"1030",341224,"蒙城县"
"1031",341225,"阜南县"
"1032",341226,"颍上县"
"1033",341227,"利辛县"
"1034",341282,"界首市"
"1035",341302,"俑桥区"
"1036",341321,"砀山县"
"1037",341322,"萧县"
"1038",341323,"灵璧县"
"1039",341324,"泗县"
"1040",342401,"六安市"
"1041",342422,"寿县"
"1042",342423,"霍邱县"
"1043",342425,"舒城县"
"1044",342426,"金寨县"
"1045",342427,"霍山县"
"1046",342481,"叶集试验区"
"1047",342501,"宣州市"
"1048",342502,"宁国市"
"1049",342522,"郎溪县"
"1050",342523,"广德县"
"1051",342529,"泾县"
"1052",342530,"旌德县"
"1053",342531,"绩溪县"
"1054",342601,"巢湖市"
"1055",342622,"庐江县"
"1056",342623,"无为县"
"1057",342625,"含山县"
"1058",342626,"和县"
"1059",342901,"贵池市"
"1060",342921,"东至县"
"1061",342922,"石台县"
"1062",342923,"青阳县"
"1063",342924,"九华山镇"
"1064",350101,"福州市辖"
"1065",350102,"鼓楼区"
"1066",350103,"台江区"
